vendor ID,vendor name,category,subcategory,strategy,refinery,additional comments,owner name
V00824,Yokogawa Corporation,Vibration Measurement Instruments,Portable Vibrometers,Risk mitigation through multi-year contracts,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Aisha Patel
V00825,Honeywell International,Control Valves,Butterfly Valves,Long-term partnership with global supplier,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Lena Müller
V00826,Omega Engineering,Pressure Instruments,Pressure Transmitters,Leveraging spend for volume discounts,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00827,Kistler Group,Test & Measurement Equipment,Data Acquisition Systems,On-site vendor support and training,Baton Rouge Refinery,Part of plant modernization project; coordinate with engineering.,Lena Müller
V00828,National Instruments,Temperature Instruments,Thermocouples,Leveraging spend for volume discounts,Port Arthur Refinery,Part of plant modernization project; coordinate with engineering.,Rahul Iyer
V00829,General Electric (GE),Flow Instruments,Magnetic Flow Meters,Standardization and bundling of similar items,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Lena Müller
V00830,Yokogawa Corporation,Flow Instruments,Turbine Flow Meters,Leveraging spend for volume discounts,Whiting Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00831,Omega Engineering,Analytical Instruments,Conductivity Meters,Performance-based maintenance contract,Port Arthur Refinery,High criticality; maintain redundancy and spare parts inventory.,Lena Müller
V00832,Keysight Technologies,Analytical Instruments,pH Meters,Life-cycle cost evaluation and optimization,Baytown Refinery,Long lead times expected; maintain minimum stock levels.,Lena Müller
V00833,National Instruments,Analytical Instruments,Spectrophotometers,On-site vendor support and training,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Rahul Iyer
V00834,Omega Engineering,Pressure Instruments,Pressure Gauges,Framework agreement for multi-site supply,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00835,"Siemens Industry, Inc.",Level Instruments,Float Switches,Standardization and bundling of similar items,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Rahul Iyer
V00836,KROHNE,Pressure Instruments,Pressure Transmitters,Framework agreement for multi-site supply,Baton Rouge Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00837,Endress+Hauser Group,Temperature Instruments,Thermistors,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00838,Endress+Hauser,Analytical Instruments,pH Meters,Framework agreement for multi-site supply,Port Arthur Refinery,Maintain alignment with corporate purchasing agreements.,Carlos Fernandez
V00839,Fluke Corporation,Level Instruments,Radar Level Sensors,Bulk purchasing for volume discounts,Baton Rouge Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00840,Dräger Safety,Vibration Measurement Instruments,Vibration Sensors,Risk mitigation through multi-year contracts,Martinez Refinery,Consider energy efficiency and sustainability in selection.,Lena Müller
V00841,Agilent Technologies,Level Instruments,Float Switches,Technology upgrade and digitalization program,Port Arthur Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00842,Agilent Technologies,Control Valves,Needle Valves,Consignment stock and vendor-managed inventory,Whiting Refinery,Part of plant modernization project; coordinate with engineering.,Rahul Iyer
V00843,Dräger Safety,Safety Instruments,Gas Detectors,Long-term partnership with global supplier,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00844,Endress+Hauser Group,Control Valves,Globe Valves,Risk mitigation through multi-year contracts,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00845,Valmet,Temperature Instruments,Thermistors,Bulk purchasing for volume discounts,Baytown Refinery,Part of plant modernization project; coordinate with engineering.,Lena Müller
V00846,ABB Ltd.,Level Instruments,Float Switches,Bulk purchasing for volume discounts,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00847,Yokogawa Electric Corporation,Control Valves,Butterfly Valves,Framework agreement for multi-site supply,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Lena Müller
V00848,Yokogawa Electric Corporation,Analytical Instruments,Dissolved Oxygen Meters,Performance-based maintenance contract,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00849,Hach Company,Flow Instruments,Mass Flow Meters,Sustainability and green procurement focus,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00850,Kistler Group,Signal Conditioning,Amplifiers,Leveraging spend for volume discounts,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Lena Müller
V00851,Dräger Safety,Safety Instruments,Safety Valves,On-site vendor support and training,Martinez Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00852,Agilent Technologies,Signal Conditioning,Filters,Bulk purchasing for volume discounts,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00853,Yokogawa Corporation of America,Analytical Instruments,Conductivity Meters,Life-cycle cost evaluation and optimization,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00854,KROHNE,Temperature Instruments,RTDs,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Vendor to assist with installation and commissioning.,Carlos Fernandez
V00855,Hach Company,Temperature Instruments,RTDs,Supplier development and collaboration,Baytown Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00856,Endress+Hauser,Control Valves,Ball Valves,Standardization and bundling of similar items,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00857,"Siemens Industry, Inc.",Analytical Instruments,Dissolved Oxygen Meters,Leveraging spend for volume discounts,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00858,Omega Engineering,Safety Instruments,Fire & Gas Detectors,Long-term partnership with global supplier,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Rahul Iyer
V00859,Mettler-Toledo,Flow Instruments,Magnetic Flow Meters,Standardization and bundling of similar items,Baton Rouge Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00860,Yokogawa Electric Corporation,Pressure Instruments,Differential Pressure Transmitters,On-site vendor support and training,Martinez Refinery,Equipment is subject to harsh conditions; require rugged design.,Lena Müller
V00861,Fluke Corporation,Level Instruments,Radar Level Sensors,Risk mitigation through multi-year contracts,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Rahul Iyer
V00862,Emerson Electric Co.,Safety Instruments,Emergency Shutdown Systems,Leveraging spend for volume discounts,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00863,Kistler Group,Level Instruments,Ultrasonic Level Sensors,Risk mitigation through multi-year contracts,Whiting Refinery,Equipment is subject to harsh conditions; require rugged design.,Carlos Fernandez
V00864,WIKA Instrument,Flow Instruments,Magnetic Flow Meters,Risk mitigation through multi-year contracts,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00865,Fisher Controls (Emerson),Analytical Instruments,Spectrophotometers,Standardization and bundling of similar items,Port Arthur Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00866,Rohde & Schwarz,Temperature Instruments,RTDs,Dual sourcing with local backup vendor,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00867,National Instruments,Vibration Measurement Instruments,Vibration Analyzers,Long-term partnership with global supplier,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Aisha Patel
V00868,Rockwell Automation,Test & Measurement Equipment,Function Generators,Spend analysis and cost optimization,Martinez Refinery,Part of plant modernization project; coordinate with engineering.,Carlos Fernandez
V00869,Kistler Group,Analytical Instruments,Conductivity Meters,Technology upgrade and digitalization program,Whiting Refinery,Vendor to assist with installation and commissioning.,Carlos Fernandez
V00870,Omega Engineering,Pressure Instruments,Pressure Transmitters,Performance-based maintenance contract,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Rahul Iyer
V00871,Kistler Group,Safety Instruments,Emergency Shutdown Systems,Consignment stock and vendor-managed inventory,Baytown Refinery,Preference for suppliers with local service centers.,Lena Müller
V00872,Valmet,Flow Instruments,Magnetic Flow Meters,Dual sourcing with local backup vendor,Baton Rouge Refinery,Ensure compatibility with existing control system infrastructure.,Aisha Patel
V00873,Honeywell International,Control Valves,Globe Valves,Technology upgrade and digitalization program,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00874,Dräger Safety,Analytical Instruments,Dissolved Oxygen Meters,Spend analysis and cost optimization,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00875,Yokogawa Corporation of America,Safety Instruments,Fire & Gas Detectors,Supplier development and collaboration,Whiting Refinery,Equipment is subject to harsh conditions; require rugged design.,Rahul Iyer
V00876,Fisher Controls (Emerson),Signal Conditioning,Filters,Long-term partnership with global supplier,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Rahul Iyer
V00877,KROHNE,Vibration Measurement Instruments,Accelerometers,On-site vendor support and training,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Carlos Fernandez
V00878,Endress+Hauser Group,Flow Instruments,Turbine Flow Meters,Standardization and bundling of similar items,Port Arthur Refinery,Part of plant modernization project; coordinate with engineering.,Rahul Iyer
V00879,VEGA Grieshaber,Temperature Instruments,RTDs,Consignment stock and vendor-managed inventory,Baton Rouge Refinery,Preference for suppliers with local service centers.,Lena Müller
V00880,Rohde & Schwarz,Flow Instruments,Magnetic Flow Meters,Dual sourcing with local backup vendor,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00881,Omega Engineering,Vibration Measurement Instruments,Accelerometers,Long-term partnership with global supplier,Baton Rouge Refinery,Preference for suppliers with local service centers.,Lena Müller
V00882,Rohde & Schwarz,Flow Instruments,Magnetic Flow Meters,Bulk purchasing for volume discounts,Martinez Refinery,Equipment is subject to harsh conditions; require rugged design.,Rahul Iyer
V00883,Yokogawa Corporation of America,Level Instruments,Capacitance Level Sensors,Standardization and bundling of similar items,Martinez Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00884,Emerson Electric Co.,Temperature Instruments,Infrared Sensors,Sustainability and green procurement focus,Whiting Refinery,Equipment is subject to harsh conditions; require rugged design.,Rahul Iyer
V00885,ABB Ltd.,Test & Measurement Equipment,Oscilloscopes,On-site vendor support and training,Baytown Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00886,Endress+Hauser Group,Test & Measurement Equipment,Function Generators,Standardization and bundling of similar items,Baytown Refinery,Vendor to assist with installation and commissioning.,Megan Chen
V00887,Valmet,Vibration Measurement Instruments,Accelerometers,Dual sourcing with local backup vendor,Martinez Refinery,Ensure compatibility with existing control system infrastructure.,Megan Chen
V00888,Omega Engineering,Pressure Instruments,Differential Pressure Transmitters,Sustainability and green procurement focus,Whiting Refinery,Ensure compatibility with existing control system infrastructure.,Rahul Iyer
V00889,Valmet,Signal Conditioning,Signal Converters,Dual sourcing with local backup vendor,Port Arthur Refinery,Vendor to assist with installation and commissioning.,Megan Chen
V00890,KROHNE,Test & Measurement Equipment,Function Generators,Supplier development and collaboration,Baton Rouge Refinery,Preference for suppliers with local service centers.,Lena Müller
V00891,Fluke Corporation,Signal Conditioning,Filters,Consignment stock and vendor-managed inventory,Baytown Refinery,Critical for process safety; ensure regular calibration.,Megan Chen
V00892,Keysight Technologies,Control Valves,Butterfly Valves,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00893,KROHNE,Temperature Instruments,Thermistors,Framework agreement for multi-site supply,Port Arthur Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00894,Kistler Group,Flow Instruments,Magnetic Flow Meters,Long-term partnership with global supplier,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00895,Honeywell International,Pressure Instruments,Differential Pressure Transmitters,Leveraging spend for volume discounts,Martinez Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00896,KROHNE,Analytical Instruments,Dissolved Oxygen Meters,Technology upgrade and digitalization program,Baton Rouge Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00897,Keysight Technologies,Analytical Instruments,Conductivity Meters,Dual sourcing with local backup vendor,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Lena Müller
V00898,Emerson Electric Co.,Vibration Measurement Instruments,Accelerometers,Leveraging spend for volume discounts,Whiting Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00899,Rohde & Schwarz,Signal Conditioning,Filters,Supplier development and collaboration,Port Arthur Refinery,Part of plant modernization project; coordinate with engineering.,Carlos Fernandez
V00900,Valmet,Signal Conditioning,Amplifiers,Long-term partnership with global supplier,Port Arthur Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00901,Rockwell Automation,Analytical Instruments,Spectrophotometers,Supplier development and collaboration,Martinez Refinery,Ensure compatibility with existing control system infrastructure.,Carlos Fernandez
V00902,KROHNE,Level Instruments,Float Switches,Framework agreement for multi-site supply,Baytown Refinery,Part of plant modernization project; coordinate with engineering.,Rahul Iyer
V00903,VEGA Grieshaber,Test & Measurement Equipment,Function Generators,Long-term partnership with global supplier,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Carlos Fernandez
V00904,Dräger Safety,Analytical Instruments,Conductivity Meters,Standardization and bundling of similar items,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Lena Müller
V00905,Keysight Technologies,Flow Instruments,Ultrasonic Flow Meters,Standardization and bundling of similar items,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00906,Omega Engineering,Temperature Instruments,Thermocouples,Technology upgrade and digitalization program,Whiting Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00907,Fluke Corporation,Control Valves,Ball Valves,Long-term partnership with global supplier,Whiting Refinery,Consider energy efficiency and sustainability in selection.,Aisha Patel
V00908,Valmet,Level Instruments,Capacitance Level Sensors,Life-cycle cost evaluation and optimization,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00909,WIKA Instrument,Signal Conditioning,Amplifiers,Risk mitigation through multi-year contracts,Martinez Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00910,National Instruments,Signal Conditioning,Filters,Consignment stock and vendor-managed inventory,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Rahul Iyer
V00911,Yokogawa Electric Corporation,Control Valves,Needle Valves,On-site vendor support and training,Whiting Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00912,Endress+Hauser Group,Safety Instruments,Gas Detectors,Performance-based maintenance contract,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00913,Yokogawa Electric Corporation,Pressure Instruments,Pressure Switches,Risk mitigation through multi-year contracts,Whiting Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00914,Siemens AG,Level Instruments,Capacitance Level Sensors,On-site vendor support and training,Martinez Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00915,ABB Ltd.,Test & Measurement Equipment,Function Generators,Bulk purchasing for volume discounts,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Carlos Fernandez
V00916,Fisher Controls (Emerson),Pressure Instruments,Pressure Transmitters,Risk mitigation through multi-year contracts,Baytown Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00917,Siemens AG,Level Instruments,Radar Level Sensors,Supplier development and collaboration,Martinez Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00918,Emerson Electric Co.,Flow Instruments,Mass Flow Meters,Performance-based maintenance contract,Baton Rouge Refinery,Vendor to assist with installation and commissioning.,Carlos Fernandez
V00919,Endress+Hauser,Flow Instruments,Turbine Flow Meters,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00920,Rohde & Schwarz,Level Instruments,Ultrasonic Level Sensors,Dual sourcing with local backup vendor,Port Arthur Refinery,Preference for suppliers with local service centers.,Aisha Patel
V00921,Bruker Corporation,Analytical Instruments,Dissolved Oxygen Meters,Consignment stock and vendor-managed inventory,Baytown Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00922,Rohde & Schwarz,Signal Conditioning,Transmitters,Technology upgrade and digitalization program,Martinez Refinery,Preference for suppliers with local service centers.,Rahul Iyer
V00923,Dräger Safety,Pressure Instruments,Pressure Switches,Framework agreement for multi-site supply,Baytown Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00924,Honeywell International,Pressure Instruments,Pressure Transmitters,Dual sourcing with local backup vendor,Baton Rouge Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00925,Yokogawa Corporation,Pressure Instruments,Pressure Transmitters,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Rahul Iyer
V00926,Yokogawa Corporation,Safety Instruments,Fire & Gas Detectors,Spend analysis and cost optimization,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Carlos Fernandez
V00927,WIKA Instrument,Level Instruments,Ultrasonic Level Sensors,Technology upgrade and digitalization program,Baytown Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00928,Omega Engineering,Vibration Measurement Instruments,Accelerometers,Sustainability and green procurement focus,Martinez Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00929,National Instruments,Analytical Instruments,Conductivity Meters,Leveraging spend for volume discounts,Martinez Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00930,Bruker Corporation,Level Instruments,Ultrasonic Level Sensors,Risk mitigation through multi-year contracts,Martinez Refinery,Consider energy efficiency and sustainability in selection.,Aisha Patel
V00931,Mettler-Toledo,Safety Instruments,Emergency Shutdown Systems,Spend analysis and cost optimization,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00932,Kistler Instruments,Analytical Instruments,pH Meters,Sustainability and green procurement focus,Baytown Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00933,Yokogawa Corporation,Signal Conditioning,Filters,Bulk purchasing for volume discounts,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00934,Agilent Technologies,Pressure Instruments,Pressure Switches,Framework agreement for multi-site supply,Baton Rouge Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00935,General Electric (GE),Pressure Instruments,Pressure Switches,Sustainability and green procurement focus,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Aisha Patel
V00936,Yokogawa Electric Corporation,Flow Instruments,Magnetic Flow Meters,Life-cycle cost evaluation and optimization,Martinez Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00937,Emerson Electric Co.,Level Instruments,Ultrasonic Level Sensors,Standardization and bundling of similar items,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Megan Chen
V00938,Keysight Technologies,Flow Instruments,Turbine Flow Meters,Supplier development and collaboration,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00939,Fisher Controls (Emerson),Flow Instruments,Ultrasonic Flow Meters,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00940,Rohde & Schwarz,Level Instruments,Float Switches,Bulk purchasing for volume discounts,Port Arthur Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00941,"Siemens Industry, Inc.",Level Instruments,Float Switches,Spend analysis and cost optimization,Martinez Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00942,Siemens AG,Safety Instruments,Fire & Gas Detectors,Bulk purchasing for volume discounts,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Megan Chen
V00943,WIKA Instrument,Level Instruments,Capacitance Level Sensors,On-site vendor support and training,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00944,Dräger Safety,Temperature Instruments,Thermocouples,Risk mitigation through multi-year contracts,Baton Rouge Refinery,Consider energy efficiency and sustainability in selection.,Megan Chen
V00945,Keysight Technologies,Temperature Instruments,Infrared Sensors,Dual sourcing with local backup vendor,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00946,Siemens AG,Vibration Measurement Instruments,Accelerometers,Spend analysis and cost optimization,Baytown Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00947,Endress+Hauser,Test & Measurement Equipment,Oscilloscopes,Risk mitigation through multi-year contracts,Baton Rouge Refinery,Maintain alignment with corporate purchasing agreements.,Aisha Patel
V00948,Hach Company,Flow Instruments,Mass Flow Meters,Sustainability and green procurement focus,Martinez Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00949,Dräger Safety,Pressure Instruments,Pressure Gauges,Technology upgrade and digitalization program,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Carlos Fernandez
V00950,Yokogawa Corporation of America,Signal Conditioning,Transmitters,Framework agreement for multi-site supply,Baytown Refinery,Preference for suppliers with local service centers.,Aisha Patel
V00951,Yokogawa Corporation of America,Level Instruments,Radar Level Sensors,Framework agreement for multi-site supply,Baton Rouge Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00952,Fluke Corporation,Pressure Instruments,Differential Pressure Transmitters,Framework agreement for multi-site supply,Baton Rouge Refinery,Consider energy efficiency and sustainability in selection.,Lena Müller
V00953,Keysight Technologies,Level Instruments,Ultrasonic Level Sensors,Supplier development and collaboration,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Rahul Iyer
V00954,Mettler-Toledo,Temperature Instruments,Thermistors,Spend analysis and cost optimization,Baton Rouge Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00955,Yokogawa Electric Corporation,Flow Instruments,Turbine Flow Meters,Life-cycle cost evaluation and optimization,Whiting Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00956,WIKA Instrument,Pressure Instruments,Pressure Transmitters,Sustainability and green procurement focus,Port Arthur Refinery,Preference for suppliers with local service centers.,Megan Chen
V00957,WIKA Instrument,Control Valves,Butterfly Valves,Consignment stock and vendor-managed inventory,Whiting Refinery,Compliance with API and ASTM standards is mandatory.,Rahul Iyer
V00958,Omega Engineering,Level Instruments,Float Switches,Leveraging spend for volume discounts,Whiting Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00959,Mettler-Toledo,Level Instruments,Radar Level Sensors,On-site vendor support and training,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Rahul Iyer
V00960,Agilent Technologies,Analytical Instruments,Spectrophotometers,On-site vendor support and training,Martinez Refinery,Equipment is subject to harsh conditions; require rugged design.,Megan Chen
V00961,Rockwell Automation,Temperature Instruments,Infrared Sensors,Dual sourcing with local backup vendor,Martinez Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00962,Bruker Corporation,Vibration Measurement Instruments,Portable Vibrometers,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00963,Fluke Corporation,Flow Instruments,Turbine Flow Meters,Risk mitigation through multi-year contracts,Baytown Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00964,Mettler-Toledo,Test & Measurement Equipment,Digital Multimeters,Leveraging spend for volume discounts,Whiting Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00965,Valmet,Level Instruments,Float Switches,Long-term partnership with global supplier,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00966,Kistler Group,Level Instruments,Capacitance Level Sensors,On-site vendor support and training,Martinez Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00967,Kistler Instruments,Safety Instruments,Safety Valves,Dual sourcing with local backup vendor,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00968,Hach Company,Level Instruments,Float Switches,Dual sourcing with local backup vendor,Martinez Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00969,Schneider Electric,Safety Instruments,Safety Valves,Risk mitigation through multi-year contracts,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00970,Schneider Electric,Test & Measurement Equipment,Oscilloscopes,Sustainability and green procurement focus,Baton Rouge Refinery,Select based on life-cycle cost rather than upfront price.,Lena Müller
V00971,Fisher Controls (Emerson),Analytical Instruments,pH Meters,Consignment stock and vendor-managed inventory,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Carlos Fernandez
V00972,Bruker Corporation,Flow Instruments,Turbine Flow Meters,Bulk purchasing for volume discounts,Whiting Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00973,Hach Company,Temperature Instruments,RTDs,Sustainability and green procurement focus,Baton Rouge Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00974,WIKA Instrument,Flow Instruments,Magnetic Flow Meters,Framework agreement for multi-site supply,Baytown Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00975,Valmet,Test & Measurement Equipment,Oscilloscopes,Dual sourcing with local backup vendor,Baytown Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00976,National Instruments,Level Instruments,Ultrasonic Level Sensors,Supplier development and collaboration,Baytown Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00977,Mettler-Toledo,Pressure Instruments,Pressure Transmitters,Spend analysis and cost optimization,Baytown Refinery,Part of plant modernization project; coordinate with engineering.,Aisha Patel
V00978,Dräger Safety,Control Valves,Butterfly Valves,Supplier development and collaboration,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Aisha Patel
V00979,Yokogawa Electric Corporation,Safety Instruments,Emergency Shutdown Systems,Framework agreement for multi-site supply,Baytown Refinery,Vendor to assist with installation and commissioning.,Aisha Patel
V00980,General Electric (GE),Temperature Instruments,Thermistors,Performance-based maintenance contract,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00981,National Instruments,Pressure Instruments,Pressure Gauges,On-site vendor support and training,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Carlos Fernandez
V00982,Yokogawa Corporation,Control Valves,Butterfly Valves,Leveraging spend for volume discounts,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Aisha Patel
V00983,Fluke Corporation,Safety Instruments,Safety Valves,Sustainability and green procurement focus,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Lena Müller
V00984,VEGA Grieshaber,Flow Instruments,Ultrasonic Flow Meters,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00985,Rockwell Automation,Control Valves,Ball Valves,Framework agreement for multi-site supply,Whiting Refinery,Vendor provides robust after-sales support and technical training.,Carlos Fernandez
V00986,Mettler-Toledo,Temperature Instruments,Infrared Sensors,Supplier development and collaboration,Baton Rouge Refinery,Maintain alignment with corporate purchasing agreements.,Aisha Patel
V00987,Bruker Corporation,Analytical Instruments,pH Meters,Technology upgrade and digitalization program,Whiting Refinery,Preference for suppliers with local service centers.,Aisha Patel
V00988,Agilent Technologies,Flow Instruments,Mass Flow Meters,Technology upgrade and digitalization program,Whiting Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00989,Valmet,Vibration Measurement Instruments,Vibration Analyzers,Dual sourcing with local backup vendor,Baton Rouge Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00990,Bruker Corporation,Flow Instruments,Mass Flow Meters,On-site vendor support and training,Baton Rouge Refinery,Consider energy efficiency and sustainability in selection.,Aisha Patel
V00991,ABB Ltd.,Safety Instruments,Safety Valves,Long-term partnership with global supplier,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Lena Müller
V00992,Siemens AG,Analytical Instruments,pH Meters,Risk mitigation through multi-year contracts,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Lena Müller
